"","col_name","entry_type","unique_values","unique_entries","na_","null_","nan_","mean_","median_","mode_"
"1","ID","character",30000,"Too Many Entries",0,0,0,"Not Applicable","Not Applicable","1"
"2","LIMIT_BAL","double",81,"Too Many Entries",0,0,0,"167484.322666667","140000","50000"
"3","SEX","character",2,"2-1",0,0,0,"Not Applicable","Not Applicable","2"
"4","EDUCATION","character",7,"Too Many Entries",0,0,0,"Not Applicable","Not Applicable","2"
"5","MARRIAGE","character",4,"1-2-3-0",0,0,0,"Not Applicable","Not Applicable","2"
"6","AGE","double",56,"Too Many Entries",0,0,0,"35.4855","34","29"
"7","PAY_0","double",11,"Too Many Entries",0,0,0,"-0.0167","0","0"
"8","PAY_2","double",11,"Too Many Entries",0,0,0,"-0.133766666666667","0","0"
"9","PAY_3","double",11,"Too Many Entries",0,0,0,"-0.1662","0","0"
"10","PAY_4","double",11,"Too Many Entries",0,0,0,"-0.220666666666667","0","0"
"11","PAY_5","double",10,"Too Many Entries",0,0,0,"-0.2662","0","0"
"12","PAY_6","double",10,"Too Many Entries",0,0,0,"-0.2911","0","0"
"13","BILL_AMT1","double",22723,"Too Many Entries",0,0,0,"51223.3309","22381.5","0"
"14","BILL_AMT2","double",22346,"Too Many Entries",0,0,0,"49179.0751666667","21200","0"
"15","BILL_AMT3","double",22026,"Too Many Entries",0,0,0,"47013.1548","20088.5","0"
"16","BILL_AMT4","double",21548,"Too Many Entries",0,0,0,"43262.9489666667","19052","0"
"17","BILL_AMT5","double",21010,"Too Many Entries",0,0,0,"40311.4009666667","18104.5","0"
"18","BILL_AMT6","double",20604,"Too Many Entries",0,0,0,"38871.7604","17071","0"
"19","PAY_AMT1","double",7943,"Too Many Entries",0,0,0,"5663.5805","2100","0"
"20","PAY_AMT2","double",7899,"Too Many Entries",0,0,0,"5921.1635","2009","0"
"21","PAY_AMT3","double",7518,"Too Many Entries",0,0,0,"5225.6815","1800","0"
"22","PAY_AMT4","double",6937,"Too Many Entries",0,0,0,"4826.07686666667","1500","0"
"23","PAY_AMT5","double",6897,"Too Many Entries",0,0,0,"4799.38763333333","1500","0"
"24","PAY_AMT6","double",6939,"Too Many Entries",0,0,0,"5215.50256666667","1500","0"
"25","default payment next month","double",2,"1-0",0,0,0,"0.2212","0","0"
